Name,Category,Dosage Form,Strength,Indication
Clariphen,Antidepressant,Tablet,453 mg,Infection
Acetocillin,Antipyretic,Cream,27 mg,Pain
Amoximet,Antidiabetic,Drops,453 mg,Virus
Amoximet,Antidiabetic,Cream,185 mg,Pain
Acetomet,Antiseptic,Syrup,758 mg,Fungus
Dextrostatin,Antidiabetic,Tablet,632 mg,Wound
Clariphen,Antiseptic,Tablet,195 mg,Fever
Cefprofen,Analgesic,Cream,881 mg,Wound
Amoxinazole,Antipyretic,Capsule,442 mg,Fungus
Cefnazole,Antidepressant,Inhaler,616 mg,Pain
Dextromet,Analgesic,Ointment,93 mg,Fever
Cefmycin,Analgesic,Cream,103 mg,Virus
Clarinazole,Antifungal,Cream,594 mg,Virus
Dextromycin,Antidepressant,Tablet,914 mg,Fever
Dextronazole,Antiseptic,Inhaler,958 mg,Diabetes
Dextromycin,Antipyretic,Ointment,80 mg,Fever
Metomycin,Antibiotic,Capsule,542 mg,Fever
Clarivir,Antidiabetic,Drops,718 mg,Pain
Dextrovir,Antiseptic,Syrup,430 mg,Diabetes
Acetomycin,Antibiotic,Capsule,573 mg,Fungus
Clarinazole,Analgesic,Tablet,296 mg,Pain
Metomycin,Antifungal,Capsule,221 mg,Depression
Clariphen,Antiseptic,Drops,919 mg,Depression
Amoxistatin,Antiseptic,Drops,249 mg,Depression
Acetonazole,Antidepressant,Ointment,77 mg,Fever
Amoxivir,Antipyretic,Cream,119 mg,Depression
Acetophen,Antifungal,Tablet,351 mg,Fungus
Cefmycin,Analgesic,Capsule,161 mg,Wound
Clariphen,Analgesic,Inhaler,406 mg,Depression
Dolostatin,Antiviral,Tablet,1 mg,Fungus
Ibuprocillin,Antipyretic,Syrup,959 mg,Diabetes
Amoxiphen,Antifungal,Cream,796 mg,Fungus
Dextroprofen,Antipyretic,Syrup,937 mg,Infection
Amoximycin,Antidiabetic,Injection,861 mg,Fever
Acetocillin,Antiseptic,Inhaler,76 mg,Infection
Cefnazole,Antiviral,Cream,393 mg,Virus
Dolovir,Antipyretic,Tablet,565 mg,Infection
Amoxistatin,Antibiotic,Cream,195 mg,Wound
Clarimycin,Antidiabetic,Inhaler,432 mg,Fungus
Metostatin,Analgesic,Syrup,384 mg,Fever
Ibuprostatin,Antiseptic,Ointment,394 mg,Infection
Dextrostatin,Antifungal,Ointment,623 mg,Virus
Amoxiprofen,Antidepressant,Drops,977 mg,Virus
Acetomycin,Antiviral,Tablet,450 mg,Diabetes
Cefstatin,Analgesic,Capsule,475 mg,Depression
Dolophen,Analgesic,Capsule,384 mg,Diabetes
Amoxiprofen,Antipyretic,Inhaler,220 mg,Depression
Acetomet,Antidiabetic,Tablet,369 mg,Diabetes
Amoxiprofen,Antidiabetic,Inhaler,540 mg,Wound
Claricillin,Antidiabetic,Syrup,625 mg,Diabetes
Amoxiphen,Antibiotic,Cream,735 mg,Depression
Claricillin,Antidepressant,Injection,61 mg,Wound
Amoximet,Analgesic,Inhaler,59 mg,Pain
Cefphen,Antifungal,Capsule,476 mg,Virus
Dolovir,Antifungal,Tablet,463 mg,Wound
Acetophen,Antidepressant,Capsule,883 mg,Infection
Dolomet,Antibiotic,Syrup,109 mg,Pain
Metonazole,Antibiotic,Inhaler,838 mg,Infection
Dextromet,Analgesic,Drops,257 mg,Infection
Claristatin,Antiviral,Injection,299 mg,Wound
Ibuprophen,Antidiabetic,Capsule,939 mg,Fungus
Dextromycin,Antiviral,Cream,283 mg,Diabetes
Ibupromycin,Antifungal,Syrup,23 mg,Fever
Clarinazole,Antifungal,Syrup,869 mg,Diabetes
Dolonazole,Analgesic,Tablet,944 mg,Fungus
Amoxiphen,Analgesic,Capsule,896 mg,Pain
Acetovir,Antiseptic,Inhaler,599 mg,Depression
Amoxiphen,Antiviral,Cream,30 mg,Fungus
Ibuprocillin,Antidepressant,Inhaler,199 mg,Fungus
Cefmet,Antidiabetic,Inhaler,616 mg,Pain
Clariprofen,Antiviral,Drops,928 mg,Fever
Metophen,Antidiabetic,Capsule,230 mg,Infection
Dextrophen,Antifungal,Injection,275 mg,Infection
Clarimycin,Antifungal,Inhaler,792 mg,Pain
Cefnazole,Antibiotic,Drops,264 mg,Fungus
Cefphen,Antidiabetic,Injection,79 mg,Depression
Amoximycin,Antiseptic,Drops,624 mg,Virus
Cefcillin,Antiviral,Drops,602 mg,Diabetes
Clarivir,Antipyretic,Syrup,318 mg,Fever
Dolophen,Antiviral,Injection,900 mg,Pain
Metophen,Antibiotic,Capsule,202 mg,Fungus
Metomet,Antiseptic,Drops,393 mg,Infection
Metoprofen,Antiseptic,Injection,172 mg,Diabetes
Amoxivir,Antidiabetic,Tablet,226 mg,Fever
Metovir,Antibiotic,Tablet,728 mg,Virus
Cefprofen,Antiviral,Capsule,443 mg,Depression
Metostatin,Antidiabetic,Syrup,820 mg,Infection
Metoprofen,Antibiotic,Ointment,496 mg,Wound
Dolophen,Antidiabetic,Injection,241 mg,Pain
Acetocillin,Antibiotic,Injection,917 mg,Virus
Dextromet,Antiseptic,Ointment,848 mg,Fever
Clarimycin,Antifungal,Inhaler,898 mg,Depression
Clariprofen,Antidepressant,Syrup,852 mg,Fever
Acetomycin,Antifungal,Inhaler,319 mg,Infection
Dextromycin,Antipyretic,Inhaler,377 mg,Infection
Dolophen,Antifungal,Syrup,355 mg,Diabetes
Amoximycin,Antibiotic,Tablet,284 mg,Infection
Dextrophen,Antidepressant,Injection,392 mg,Pain
Metomet,Antidepressant,Injection,588 mg,Virus
Clarimet,Antidiabetic,Inhaler,794 mg,Diabetes
Cefprofen,Antidiabetic,Injection,7 mg,Wound
Ibuprocillin,Antipyretic,Cream,690 mg,Virus
Ibupromycin,Antidiabetic,Cream,832 mg,Fever
Metomet,Analgesic,Cream,904 mg,Depression
Clarivir,Analgesic,Syrup,545 mg,Virus
Clariprofen,Antibiotic,Ointment,39 mg,Fungus
Ibupromycin,Antiviral,Inhaler,190 mg,Pain
Acetophen,Antiseptic,Ointment,287 mg,Wound
Dextromycin,Antibiotic,Inhaler,188 mg,Infection
Dextroprofen,Analgesic,Injection,399 mg,Infection
Dextromet,Antidiabetic,Ointment,236 mg,Diabetes
Metocillin,Analgesic,Ointment,724 mg,Depression
Dolovir,Antipyretic,Cream,286 mg,Depression
Clarinazole,Antidiabetic,Inhaler,951 mg,Pain
Doloprofen,Antidiabetic,Tablet,342 mg,Pain
Ibupromet,Analgesic,Drops,520 mg,Fungus
Claristatin,Analgesic,Drops,13 mg,Pain
Cefmycin,Analgesic,Drops,706 mg,Depression
Claricillin,Antibiotic,Ointment,362 mg,Virus
Dolophen,Analgesic,Ointment,830 mg,Virus
Cefstatin,Analgesic,Drops,763 mg,Wound
Metocillin,Antibiotic,Tablet,494 mg,Fungus
Metophen,Antidiabetic,Ointment,588 mg,Infection
Metonazole,Antibiotic,Drops,244 mg,Depression
Metonazole,Antiviral,Cream,76 mg,Diabetes
Ibupromycin,Antifungal,Ointment,212 mg,Diabetes
Metonazole,Antidiabetic,Cream,352 mg,Infection
Clarimet,Antiseptic,Cream,913 mg,Fever
Cefcillin,Antidiabetic,Tablet,188 mg,Diabetes
Metomycin,Antipyretic,Ointment,824 mg,Fungus
Metocillin,Antiseptic,Capsule,346 mg,Diabetes
Metophen,Antibiotic,Drops,828 mg,Fungus
Dextroprofen,Antidepressant,Ointment,790 mg,Wound
Clarimycin,Antipyretic,Ointment,397 mg,Virus
Acetovir,Antifungal,Capsule,684 mg,Wound
Amoxiphen,Antidepressant,Cream,149 mg,Wound
Claricillin,Antidiabetic,Tablet,973 mg,Pain
Doloprofen,Antibiotic,Inhaler,584 mg,Wound
Ibuproprofen,Antipyretic,Drops,46 mg,Infection
Ibuprovir,Antiseptic,Injection,964 mg,Pain
Clarivir,Antidiabetic,Inhaler,397 mg,Pain
Acetomet,Antibiotic,Cream,641 mg,Infection
Ibupromet,Antiviral,Drops,398 mg,Depression
Amoxiprofen,Antiviral,Syrup,795 mg,Infection
Cefmycin,Analgesic,Syrup,644 mg,Pain
Metocillin,Analgesic,Syrup,267 mg,Pain
Dextrocillin,Antiseptic,Syrup,538 mg,Fever
Amoxiphen,Antibiotic,Drops,552 mg,Diabetes
Acetophen,Antidepressant,Ointment,458 mg,Fever
Cefmycin,Antidepressant,Capsule,309 mg,Virus
Amoxivir,Antifungal,Tablet,31 mg,Diabetes
Clarimycin,Antifungal,Capsule,963 mg,Infection
Ibuprophen,Antidiabetic,Injection,77 mg,Fungus
Amoxicillin,Antipyretic,Ointment,493 mg,Wound
Claristatin,Antifungal,Tablet,20 mg,Pain
Amoxicillin,Analgesic,Capsule,535 mg,Wound
Amoxicillin,Antidiabetic,Cream,483 mg,Depression
Metostatin,Antidiabetic,Capsule,572 mg,Virus
Dextrostatin,Antifungal,Tablet,727 mg,Pain
Cefmycin,Antipyretic,Drops,698 mg,Wound
Cefprofen,Antiviral,Cream,290 mg,Virus
Acetovir,Antifungal,Injection,3 mg,Wound
Cefmycin,Antiseptic,Inhaler,483 mg,Fungus
Acetomycin,Antiseptic,Syrup,393 mg,Fever
Dolonazole,Antipyretic,Ointment,135 mg,Virus
Clarimet,Antipyretic,Capsule,388 mg,Fever
Metovir,Antiseptic,Ointment,163 mg,Wound
Dextrophen,Antidepressant,Drops,724 mg,Wound
Dolomet,Antipyretic,Tablet,377 mg,Diabetes
Acetoprofen,Antiviral,Capsule,799 mg,Fever
Claricillin,Antiviral,Capsule,428 mg,Depression
Clariprofen,Antifungal,Syrup,194 mg,Diabetes
Acetonazole,Analgesic,Ointment,695 mg,Diabetes
Dextrostatin,Antidepressant,Tablet,865 mg,Infection
Metoprofen,Antifungal,Cream,201 mg,Fungus
Cefcillin,Antipyretic,Ointment,523 mg,Fungus
Ibuprocillin,Antiviral,Cream,815 mg,Infection
Dextronazole,Antifungal,Drops,239 mg,Wound
Dolovir,Antidiabetic,Capsule,784 mg,Pain
Cefmet,Antibiotic,Tablet,794 mg,Fever
Acetophen,Antidepressant,Capsule,705 mg,Fungus
Cefprofen,Antibiotic,Tablet,220 mg,Virus
Clarinazole,Antiviral,Syrup,590 mg,Fever
Acetomet,Antidiabetic,Capsule,918 mg,Pain
Dolomycin,Antidiabetic,Drops,507 mg,Infection
Metomycin,Antiviral,Inhaler,535 mg,Pain
Acetocillin,Antidiabetic,Ointment,238 mg,Wound
Dolonazole,Antipyretic,Injection,90 mg,Pain
Dolocillin,Antifungal,Drops,269 mg,Fungus
Claricillin,Antipyretic,Injection,458 mg,Fungus
Acetoprofen,Antipyretic,Drops,640 mg,Virus
Metonazole,Antidiabetic,Syrup,241 mg,Virus
Clariprofen,Antifungal,Inhaler,236 mg,Diabetes
Dolonazole,Antidiabetic,Injection,191 mg,Infection
Amoxiprofen,Antiseptic,Tablet,243 mg,Wound
Clarivir,Antidiabetic,Cream,784 mg,Infection
Metostatin,Antidiabetic,Ointment,738 mg,Fever
Dolovir,Antidiabetic,Ointment,162 mg,Wound
Metovir,Antifungal,Syrup,911 mg,Fever
Clariprofen,Antidiabetic,Syrup,181 mg,Fever
Clarivir,Antiseptic,Drops,431 mg,Infection
Dextrostatin,Antiviral,Ointment,678 mg,Diabetes
Amoximet,Analgesic,Ointment,938 mg,Virus
Metovir,Analgesic,Syrup,223 mg,Wound
Dolophen,Antiseptic,Tablet,975 mg,Depression
Clarimet,Antipyretic,Capsule,126 mg,Fungus
Dolostatin,Analgesic,Syrup,823 mg,Depression
Claristatin,Antipyretic,Cream,873 mg,Wound
Ibuproprofen,Analgesic,Inhaler,419 mg,Virus
Clariprofen,Antiseptic,Drops,735 mg,Infection
Dextrovir,Antibiotic,Syrup,645 mg,Infection
Metophen,Antipyretic,Syrup,469 mg,Virus
Amoxivir,Antifungal,Drops,429 mg,Infection
Clariprofen,Antiviral,Cream,180 mg,Fungus
Acetoprofen,Antidepressant,Drops,970 mg,Virus
Dolomycin,Antipyretic,Capsule,685 mg,Virus
Dolomycin,Antidiabetic,Inhaler,392 mg,Fungus
Metonazole,Antipyretic,Drops,724 mg,Pain
Amoxiprofen,Antidiabetic,Injection,561 mg,Fever
Amoxiprofen,Analgesic,Injection,403 mg,Pain
Ibuprostatin,Analgesic,Ointment,880 mg,Wound
Acetomycin,Analgesic,Injection,791 mg,Virus
Cefcillin,Analgesic,Cream,842 mg,Pain
Dextronazole,Analgesic,Tablet,92 mg,Fever
Metocillin,Antiviral,Inhaler,747 mg,Depression
Dolonazole,Analgesic,Tablet,351 mg,Infection
Cefmet,Antibiotic,Injection,56 mg,Wound
Acetomet,Antifungal,Tablet,730 mg,Fungus
Cefmycin,Antiviral,Capsule,294 mg,Virus
Ibuprostatin,Analgesic,Capsule,370 mg,Infection
Amoxistatin,Antibiotic,Injection,805 mg,Fever
Dextromet,Antiseptic,Drops,430 mg,Infection
Ibuproprofen,Analgesic,Injection,314 mg,Pain
Acetophen,Antiseptic,Inhaler,675 mg,Wound
Dextrophen,Antibiotic,Capsule,401 mg,Infection
Ibupronazole,Antidepressant,Inhaler,180 mg,Depression
Cefphen,Antipyretic,Tablet,663 mg,Diabetes
Acetomet,Antibiotic,Injection,814 mg,Depression
Cefvir,Antifungal,Inhaler,399 mg,Infection
Dextrophen,Antifungal,Capsule,201 mg,Fever
Dextrovir,Antiseptic,Ointment,274 mg,Fever
Dextromet,Antidiabetic,Cream,543 mg,Depression
Ibupronazole,Antipyretic,Inhaler,328 mg,Infection
Dolostatin,Antibiotic,Cream,855 mg,Infection
Cefprofen,Antidepressant,Ointment,686 mg,Depression
Acetostatin,Antifungal,Cream,97 mg,Fever
Amoxistatin,Analgesic,Injection,814 mg,Depression
Dextroprofen,Antiseptic,Ointment,421 mg,Depression
Cefvir,Antiseptic,Capsule,100 mg,Infection
Metomet,Antidepressant,Syrup,953 mg,Depression
Clarinazole,Antibiotic,Cream,651 mg,Virus
Acetoprofen,Antifungal,Syrup,506 mg,Infection
Dolostatin,Antidiabetic,Syrup,940 mg,Diabetes
Cefmet,Antidepressant,Drops,728 mg,Depression
Acetomycin,Antibiotic,Cream,351 mg,Fever
Claricillin,Analgesic,Injection,658 mg,Wound
Acetomet,Antifungal,Syrup,344 mg,Virus
Dextrostatin,Antiviral,Capsule,813 mg,Diabetes
Cefnazole,Analgesic,Ointment,37 mg,Fever
Dextrovir,Antiseptic,Capsule,698 mg,Pain
Amoxiprofen,Analgesic,Injection,372 mg,Infection
Claristatin,Antipyretic,Drops,775 mg,Fever
Amoxistatin,Antifungal,Syrup,406 mg,Depression
Dextroprofen,Antidiabetic,Ointment,243 mg,Fever
Acetoprofen,Antibiotic,Capsule,817 mg,Pain
Metovir,Antidiabetic,Capsule,36 mg,Diabetes
Cefvir,Analgesic,Ointment,795 mg,Virus
Clarimycin,Antibiotic,Tablet,641 mg,Diabetes
Metoprofen,Antifungal,Drops,897 mg,Virus
Cefmycin,Antifungal,Syrup,218 mg,Infection
Doloprofen,Analgesic,Inhaler,564 mg,Infection
Cefcillin,Antiseptic,Tablet,703 mg,Virus
Cefprofen,Analgesic,Cream,417 mg,Fever
Acetonazole,Antifungal,Tablet,25 mg,Infection
Acetophen,Antifungal,Injection,660 mg,Fever
Ibuprocillin,Antifungal,Syrup,68 mg,Depression
Clarimycin,Antiviral,Tablet,149 mg,Infection
Acetophen,Antipyretic,Capsule,109 mg,Virus
Amoxiprofen,Antiseptic,Capsule,181 mg,Infection
Ibupromycin,Antiviral,Drops,863 mg,Wound
Cefprofen,Antidepressant,Drops,709 mg,Depression
Cefmycin,Antidiabetic,Ointment,278 mg,Fungus
Acetocillin,Antiviral,Injection,286 mg,Diabetes
Dextronazole,Antidiabetic,Injection,23 mg,Pain
Acetovir,Antidiabetic,Tablet,110 mg,Infection
Dextrostatin,Antiviral,Cream,531 mg,Infection
Clarinazole,Antibiotic,Tablet,445 mg,Wound
Amoxinazole,Antidepressant,Injection,292 mg,Fever
Cefstatin,Antiseptic,Tablet,581 mg,Virus
Cefcillin,Antidepressant,Cream,301 mg,Diabetes
Dolostatin,Antidiabetic,Injection,751 mg,Diabetes
Cefphen,Antifungal,Injection,460 mg,Virus
Metophen,Antibiotic,Ointment,963 mg,Pain
Acetoprofen,Antiseptic,Syrup,360 mg,Fungus
Cefprofen,Antipyretic,Inhaler,77 mg,Depression
Acetomycin,Antipyretic,Syrup,857 mg,Virus
Cefcillin,Antiviral,Drops,601 mg,Infection
Metostatin,Analgesic,Capsule,339 mg,Fever
Amoximycin,Analgesic,Drops,320 mg,Depression
Amoxiprofen,Antiviral,Cream,845 mg,Pain
Cefprofen,Antipyretic,Cream,119 mg,Infection
Cefmet,Antiseptic,Syrup,402 mg,Infection
Ibuprostatin,Antipyretic,Ointment,73 mg,Wound
Dolonazole,Antidiabetic,Ointment,345 mg,Infection
Clarimet,Antiseptic,Ointment,685 mg,Virus
Dextrophen,Antidepressant,Injection,248 mg,Fungus
Metocillin,Antifungal,Capsule,617 mg,Wound
Dolovir,Antidiabetic,Cream,679 mg,Pain
Metonazole,Antidepressant,Drops,436 mg,Virus
Cefprofen,Antibiotic,Tablet,201 mg,Infection
Dextronazole,Analgesic,Drops,900 mg,Virus
Cefmycin,Antibiotic,Inhaler,143 mg,Pain
Amoxiprofen,Antifungal,Ointment,85 mg,Wound
Metophen,Antiseptic,Syrup,5 mg,Infection
Claricillin,Antiseptic,Capsule,577 mg,Fever
Cefnazole,Antiviral,Injection,244 mg,Fungus
Cefnazole,Antidepressant,Drops,178 mg,Fungus
Dextromycin,Antidiabetic,Inhaler,439 mg,Infection
Acetovir,Antidepressant,Capsule,648 mg,Wound
Ibupromet,Antidiabetic,Syrup,365 mg,Pain
Amoxiphen,Analgesic,Capsule,758 mg,Wound
Dolostatin,Antiviral,Injection,200 mg,Fever
Cefstatin,Antiviral,Syrup,946 mg,Fever
Dextrocillin,Antidepressant,Injection,907 mg,Depression
Amoxicillin,Antibiotic,Drops,765 mg,Infection
Cefnazole,Antiseptic,Capsule,515 mg,Diabetes
Ibuprophen,Antidiabetic,Drops,390 mg,Diabetes
Amoximycin,Antiviral,Capsule,554 mg,Infection
Claristatin,Antiseptic,Ointment,787 mg,Depression
Ibupromycin,Antidepressant,Capsule,265 mg,Pain
Cefmycin,Antifungal,Capsule,909 mg,Depression
Amoximycin,Antiviral,Capsule,861 mg,Fungus
Cefcillin,Antiseptic,Capsule,990 mg,Diabetes
Acetostatin,Antiseptic,Injection,423 mg,Diabetes
Dolocillin,Antiseptic,Capsule,380 mg,Fungus
Cefcillin,Antiseptic,Inhaler,345 mg,Fever
Cefstatin,Analgesic,Ointment,144 mg,Fever
Dolovir,Antidiabetic,Capsule,6 mg,Pain
Ibuprocillin,Antidepressant,Inhaler,174 mg,Diabetes
Cefvir,Antifungal,Inhaler,839 mg,Pain
Dextrostatin,Analgesic,Cream,653 mg,Diabetes
Dextromycin,Antibiotic,Ointment,834 mg,Diabetes
Acetoprofen,Antiseptic,Capsule,81 mg,Wound
Metonazole,Antibiotic,Drops,449 mg,Virus
Amoxivir,Antifungal,Cream,304 mg,Infection
Amoximet,Analgesic,Cream,115 mg,Infection
Cefstatin,Antidepressant,Drops,605 mg,Fever
Ibuprophen,Antifungal,Ointment,129 mg,Diabetes
Acetovir,Analgesic,Ointment,826 mg,Fungus
Ibuprocillin,Antidiabetic,Injection,598 mg,Virus
Dextrophen,Antifungal,Drops,547 mg,Virus
Amoxiphen,Antiviral,Syrup,17 mg,Wound
Acetomet,Antipyretic,Syrup,904 mg,Fever
Metoprofen,Antiviral,Tablet,268 mg,Virus
Dextrocillin,Antifungal,Inhaler,704 mg,Pain
Clarimet,Antifungal,Injection,179 mg,Fungus
Ibuprocillin,Antidepressant,Drops,97 mg,Diabetes
Acetophen,Antiviral,Cream,219 mg,Wound
Metophen,Antibiotic,Tablet,267 mg,Diabetes
Doloprofen,Antipyretic,Tablet,280 mg,Infection
Amoxistatin,Antipyretic,Capsule,412 mg,Diabetes
Acetovir,Antipyretic,Injection,578 mg,Virus
Clarimycin,Analgesic,Capsule,729 mg,Fever
Dextronazole,Antibiotic,Cream,452 mg,Virus
Dolomet,Antidepressant,Tablet,436 mg,Wound
Cefvir,Antifungal,Tablet,178 mg,Fungus
Acetomet,Antiseptic,Cream,958 mg,Diabetes
Dextrovir,Antibiotic,Cream,889 mg,Fever
Dolomet,Analgesic,Injection,385 mg,Wound
Dextroprofen,Antibiotic,Syrup,13 mg,Pain
Ibupronazole,Antiseptic,Tablet,824 mg,Pain
Amoxiphen,Antibiotic,Inhaler,961 mg,Pain
Ibupronazole,Antipyretic,Cream,697 mg,Depression
Acetocillin,Antiseptic,Syrup,102 mg,Diabetes
Acetomet,Analgesic,Cream,413 mg,Fungus
Cefvir,Analgesic,Inhaler,914 mg,Infection
Clariprofen,Analgesic,Tablet,891 mg,Fever
Cefmycin,Antipyretic,Cream,747 mg,Pain
Cefmycin,Antipyretic,Inhaler,432 mg,Pain
Ibupronazole,Antifungal,Tablet,59 mg,Fungus
Cefvir,Analgesic,Ointment,357 mg,Fever
Metovir,Antiviral,Capsule,835 mg,Diabetes
Cefnazole,Analgesic,Tablet,930 mg,Infection
Acetoprofen,Antifungal,Capsule,401 mg,Fungus
Acetovir,Antiseptic,Cream,987 mg,Depression
Metonazole,Antidiabetic,Injection,235 mg,Diabetes
Doloprofen,Antibiotic,Inhaler,918 mg,Fever
Cefvir,Antifungal,Drops,150 mg,Virus
Metomycin,Antidepressant,Tablet,15 mg,Fever
Ibupromet,Antidepressant,Cream,869 mg,Fungus
Clariphen,Antiviral,Drops,456 mg,Fungus
Dolomycin,Antibiotic,Syrup,46 mg,Fever
Amoxivir,Antiseptic,Drops,400 mg,Fungus
Dolomet,Antidiabetic,Ointment,402 mg,Virus
Clarinazole,Antiseptic,Inhaler,890 mg,Fungus
Ibuprovir,Antidepressant,Cream,365 mg,Virus
Acetophen,Analgesic,Drops,933 mg,Diabetes
Clariprofen,Antipyretic,Capsule,202 mg,Pain
Cefnazole,Antiseptic,Injection,994 mg,Fungus
Dextronazole,Analgesic,Syrup,242 mg,Fever
Dextrophen,Antidepressant,Syrup,813 mg,Depression
Dextronazole,Antipyretic,Capsule,248 mg,Fungus
Cefvir,Antiviral,Inhaler,489 mg,Pain
Acetomycin,Antiseptic,Drops,880 mg,Diabetes
Metophen,Antiseptic,Ointment,971 mg,Pain
Dextrostatin,Antibiotic,Capsule,532 mg,Pain
Clariprofen,Antifungal,Tablet,713 mg,Diabetes
Dolocillin,Antipyretic,Capsule,327 mg,Depression
Metonazole,Antidepressant,Drops,779 mg,Diabetes
Dolomet,Antiviral,Ointment,641 mg,Virus
Metomycin,Antidepressant,Injection,796 mg,Virus
Claricillin,Antipyretic,Cream,493 mg,Wound
Dextromycin,Antibiotic,Drops,871 mg,Diabetes
Claricillin,Antiseptic,Syrup,159 mg,Depression
Cefprofen,Antibiotic,Tablet,354 mg,Pain
Dolostatin,Antidepressant,Syrup,462 mg,Pain
Dextromet,Antipyretic,Cream,633 mg,Pain
Clarimycin,Antidiabetic,Capsule,46 mg,Fever
Dextronazole,Antiseptic,Cream,499 mg,Depression
Dolostatin,Antiseptic,Syrup,568 mg,Fever
Amoxicillin,Antipyretic,Syrup,316 mg,Infection
Acetophen,Analgesic,Tablet,731 mg,Infection
Acetostatin,Antibiotic,Drops,651 mg,Infection
Ibupromet,Antiseptic,Capsule,34 mg,Virus
Metostatin,Antibiotic,Drops,659 mg,Fever
Cefmet,Antidiabetic,Ointment,448 mg,Depression
Dolostatin,Antidiabetic,Syrup,13 mg,Virus
Metophen,Antibiotic,Cream,982 mg,Fever
Cefmycin,Antifungal,Cream,278 mg,Diabetes
Dextrovir,Antifungal,Injection,727 mg,Virus
Clarivir,Antifungal,Injection,271 mg,Infection
Acetophen,Antibiotic,Capsule,436 mg,Infection
Metocillin,Antibiotic,Cream,965 mg,Depression
Acetonazole,Antibiotic,Ointment,214 mg,Pain
Cefnazole,Antiviral,Tablet,97 mg,Wound
Amoxiprofen,Antidepressant,Inhaler,543 mg,Diabetes
Cefprofen,Antipyretic,Capsule,229 mg,Infection
Dolonazole,Antidiabetic,Drops,287 mg,Virus
Ibuprostatin,Antidepressant,Tablet,822 mg,Depression
Metovir,Antidiabetic,Tablet,485 mg,Fungus
Amoxiprofen,Antiviral,Injection,64 mg,Virus
Dextroprofen,Antibiotic,Capsule,107 mg,Wound
Dextrostatin,Antidepressant,Cream,341 mg,Fungus
Ibuprocillin,Antiseptic,Ointment,342 mg,Infection
Amoxivir,Antidepressant,Ointment,952 mg,Fever
Metoprofen,Antifungal,Syrup,915 mg,Virus
Metostatin,Antipyretic,Tablet,817 mg,Diabetes
Acetovir,Antibiotic,Injection,158 mg,Wound
Metostatin,Antidepressant,Injection,352 mg,Pain
Dextromet,Antibiotic,Injection,131 mg,Pain
Acetovir,Analgesic,Injection,824 mg,Wound
Acetomycin,Antidepressant,Injection,896 mg,Fever
Cefvir,Antiseptic,Cream,401 mg,Depression
Ibupromet,Analgesic,Tablet,929 mg,Depression
Acetonazole,Antibiotic,Tablet,643 mg,Pain
Cefmycin,Antiviral,Injection,834 mg,Infection
Claristatin,Antidiabetic,Injection,434 mg,Infection
Ibupromycin,Antiviral,Injection,672 mg,Fever
Dextronazole,Antiseptic,Inhaler,961 mg,Diabetes
Dextrovir,Antidepressant,Drops,344 mg,Fever
Amoxinazole,Antiseptic,Capsule,776 mg,Virus
Metomet,Antibiotic,Tablet,660 mg,Fungus
Acetonazole,Antiseptic,Injection,259 mg,Pain
Dolonazole,Antibiotic,Drops,757 mg,Pain
Metomet,Antifungal,Tablet,118 mg,Pain
Ibuproprofen,Antiviral,Cream,156 mg,Fever
Acetovir,Antiseptic,Tablet,867 mg,Infection
Acetocillin,Antiviral,Cream,175 mg,Wound
Cefvir,Antidepressant,Cream,195 mg,Wound
Clarimycin,Antifungal,Ointment,159 mg,Diabetes
Dolostatin,Antidiabetic,Injection,717 mg,Virus
Metomet,Antidepressant,Ointment,663 mg,Diabetes
Dolovir,Antidiabetic,Inhaler,918 mg,Pain
Clarimycin,Antidepressant,Syrup,337 mg,Wound
Metovir,Antiseptic,Injection,394 mg,Fungus
Claricillin,Antiviral,Cream,265 mg,Fever
Dolomet,Antifungal,Cream,183 mg,Virus
Cefstatin,Antibiotic,Tablet,902 mg,Fungus
Amoxivir,Antiseptic,Cream,752 mg,Pain
Acetomet,Antifungal,Capsule,379 mg,Depression
Claristatin,Antidiabetic,Cream,385 mg,Wound
Dolocillin,Antiviral,Cream,217 mg,Diabetes
Dolovir,Antifungal,Capsule,658 mg,Fungus
Acetostatin,Antiseptic,Capsule,907 mg,Infection
Dextrovir,Antiviral,Cream,165 mg,Virus
Metovir,Antipyretic,Capsule,24 mg,Fungus
Ibuproprofen,Antifungal,Drops,744 mg,Infection
Metoprofen,Antibiotic,Injection,616 mg,Wound
Metomet,Antifungal,Drops,44 mg,Fungus
Cefvir,Antipyretic,Tablet,410 mg,Diabetes
Dextronazole,Analgesic,Capsule,658 mg,Depression
Metophen,Antiseptic,Drops,110 mg,Depression
Amoximet,Antidiabetic,Ointment,752 mg,Fungus
Metocillin,Antidepressant,Capsule,729 mg,Virus
Ibuprovir,Antibiotic,Capsule,618 mg,Virus
Acetophen,Antiviral,Drops,379 mg,Virus
Clarimet,Analgesic,Cream,5 mg,Infection
Cefcillin,Antibiotic,Inhaler,641 mg,Pain
Ibupronazole,Analgesic,Syrup,519 mg,Infection
Clarinazole,Antifungal,Ointment,89 mg,Fungus
Claricillin,Antibiotic,Cream,214 mg,Infection
Cefprofen,Antidepressant,Capsule,934 mg,Depression
Amoxistatin,Antidepressant,Inhaler,98 mg,Depression
Ibupronazole,Antibiotic,Syrup,887 mg,Infection
Ibupromycin,Antipyretic,Syrup,427 mg,Diabetes
